private_interest_id,company_id_openpolis,company_id_transparency,person_id_openpolis,person_id_transparency,company_name,company_vat,company_type,company_headquarter_address,company_headquarter_municipality,company_headquarter_province,company_sector_description,company_transparency_sector,company_turnover_range,company_employees_range,person_company_role,person_company_role_starting_date,person_company_share_%
PI00300,96559,CO00211,498646,PE00878,FIGISC SERVICE SRL,,Società a responsabilità limitata,"Piazza Giuseppe Gioachino Belli, 2, 00153",Roma,RM,Altre Attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Minore o uguale a 250.000 euro,Fino a 2,Consigliere,17/12/2018,
PI00434,135633,CO00356,819521,PE00795,C&C WEALTH MANAGEMENT S.R.L.,,Società a responsabilità limitata,"Via Frattina, 75, 00187 ",Roma,RM,Altre Attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Dato non disponibile,Dato non disponibile,Consigliere,30/09/2020,
PI00436,135628,CO00351,959973,PE01271,CONFARTIGIANATO APLA SERVIZI S.R.L.,,Società a responsabilità limitata con un unico socio,"Viale Mentana, 139/A, 43121",Parma,PR,Attività svolta dai Centri di assistenza fiscale (Caf),Consulenza,Dato non disponibile,Dato non disponibile,Consigliere,28/02/2022,
PI00470,95020,CO00286,849688,PE01162,TOR VERGATA-CONFAPI CONTAMINACTION HUB - SOCIETA' A RESPONSABILITA' LIMITATA,,Società a responsabilità limitata,"Via Cracovia, 50, 00133",Roma,RM,Altre Attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Dato non disponibile,Fino a 2,Consigliere,09/04/2019,
PI00471,95020,CO00286,849688,PE01162,TOR VERGATA-CONFAPI CONTAMINACTION HUB - SOCIETA' A RESPONSABILITA' LIMITATA,,Società a responsabilità limitata,"Via Cracovia, 50, 00133",Roma,RM,Altre Attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Dato non disponibile,Fino a 2,Presidente del consiglio di amministrazione,23/06/2021,
PI00487,90078,CO00283,495948,PE01039,MESA S.R.L.,,Società a responsabilità limitata,"Via Armando Magliotto, 2, 17100",Savona,SV,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Tra 250.000 e 2.000.000 euro,Da 11 a 50,Azionista,,10.00
PI00323,96216,CO00234,819212,PE00867,POLYCONSULTING S.R.L.,,Società a responsabilità limitata,"Via Giuseppe Fanelli, 10/TR.227, 70125",Bari,BA,attività degli studi di ingegneria,Consulenza,Tra 250.000 e 2.000.000 euro,Dato non disponibile,Azionista,,15.00
PI00506,135633,CO00356,819521,PE00795,C&C WEALTH MANAGEMENT S.R.L.,,Società a responsabilità limitata,"Via Frattina, 75, 00187",Roma,RM,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Dato non disponibile,Dato non disponibile,Azionista,,50.00
PI00250,96494,CO00176,494583,PE00725,STUDIO PICHETTO & ASSOCIATI S.R.L.,,Società a responsabilità limitata,"Via Giacomo Matteotti, 14, 13900",Biella,BI,"attività degli studi commerciali, tributari e revisione contabile",Consulenza,Minore o uguale a 250.000 euro,Da 3 a 10,Azionista,,51.00
PI00525,135600,CO00323,533943,PE01178,"WORK SERVICE S.R.L. SIGLABILE: ""W.S. S.R.L.""",,Società a responsabilità limitata,"Piazza I Maggio, 13, 14100",Asti,AT,Consulenza sulla sicurezza ed igiene dei posti di lavoro,Consulenza,Dato non disponibile,Dato non disponibile,Azionista,,5.00
PI00535,135590,CO00313,822265,PE00123,LION PROJECT S.R.L. - MARKETING MEDIA TRADE,,Società a responsabilità limitata,"Viale Giacomo Matteotti, 14/D, 20095",Cusano Milanino,MI,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Dato non disponibile,Dato non disponibile,Azionista,,50.00
PI00091,96339,CO00071,541134,PE00093,"STUDIO BITONCI, MENDO & ASSOCIATI S.R.L.",,Società a responsabilità limitata,"Via Antenore, 2, 35013",Cittadella,PD,"Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività in materia di amministrazione, contabilità e tributi",Consulenza,Tra 250.000 e 2.000.000 euro,Da 3 a 10,Azionista,,50.00
PI00405,104302,CO00294,824028,PE01107,THINK TANK TEAM SOCIETA' CONSORTILE A R.L.,,Società consortile,"Calata Marinai D'Italia, SNC, 90133",Palermo,PA,Commercio al dettaglio di altri prodotti non alimentari nca,Distribuzione,Dato non disponibile,Dato non disponibile,Consigliere,14/04/2015,
PI00406,135637,CO00360,538221,PE01104,TS SRLS,,Società a responsabilità limitata,"Via Della Dogana, 26, 03100",Frosinone,FR,Commercio all'ingrosso di mobili per ufficio e negozi,Distribuzione,Dato non disponibile,Dato non disponibile,Socio,27/07/2017,
PI00407,135637,CO00360,538221,PE01104,TS SRLS,,Società a responsabilità limitata,"Via Della Dogana, 26, 03100",Frosinone,FR,Commercio all'ingrosso di mobili per ufficio e negozi,Distribuzione,Dato non disponibile,Dato non disponibile,Amministratore unico,27/07/2017,
PI00408,116700,CO00304,855529,PE01093,GLV S.R.L.,,Società a responsabilità limitata,"Via Del Carmine, 7, 38015",Lavis,TN,Commercio all'ingrosso di bevande alcoliche,Distribuzione,Tra 250.000 e 2.000.000 euro,Da 3 a 10,Consigliere,21/03/2019,
PI00131,96381,CO00097,819562,PE00986,ZUCCONI RICCARDO,,Impresa individuale non agricola,"Viale Guglielmo Marconi, 62, 55049",Viareggio,LU,Commercio al dettaglio di generi di monopolio (tabaccherie),Distribuzione,Dato non disponibile,Da 3 a 10,Titolare,24/09/1997,
PI00298,96558,CO00210,498646,PE00878,PLUSPETROL SRL,,Società a responsabilità limitata,"Via Pietrasanta, 12, 20141",Milano,MI,Commercio al dettaglio di carburante per autotrazione,Distribuzione,Minore o uguale a 250.000 euro,Da 3 a 10,Amministratore unico,21/03/1991,
PI00467,135592,CO00315,496147,PE01176,MONVISO AUTOMOTIVE SOCIETA' A RESPONSABILITA' LIMITATA,,Società a responsabilità limitata,"Piazza Solferino, 20, 10121",Torino,TO,Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri,Distribuzione,Dato non disponibile,Dato non disponibile,Socio,09/11/2021,
PI00468,135592,CO00315,496147,PE01176,MONVISO AUTOMOTIVE SOCIETA' A RESPONSABILITA' LIMITATA,,Società a responsabilità limitata,"Piazza Solferino, 20, 10121",Torino,TO,Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri,Distribuzione,Dato non disponibile,Dato non disponibile,Amministratore unico,19/09/2017,
PI00483,135614,CO00337,607505,PE01125,SOCIM S.P.A.,,Società per azioni,"Via Tovini, 72/74, 25021",Bagnolo Mella,BS,Commercio all'ingrosso di articoli antincendio e antinfortunistici,Distribuzione,Dato non disponibile,Dato non disponibile,Presidente del collegio sindacale,27/05/2014,
PI00485,135637,CO00360,538221,PE01104,TS SRLS,,Società a responsabilità limitata,"Via Della Dogana, 26, 03100",Frosinone,FR,Commercio all'ingrosso di mobili per ufficio e negozi,Distribuzione,Dato non disponibile,Dato non disponibile,Azionista,,100.00
PI00299,96558,CO00210,498646,PE00878,PLUSPETROL SRL,,Società a responsabilità limitata,"Via Pietrasanta, 12, 20141",Milano ,MI,Commercio al dettaglio di carburante per autotrazione,Distribuzione,Minore o uguale a 250.000 euro,Da 3 a 10,Azionista,,70.00
PI00518,135608,CO00331,862490,PE01209,MIDIWARE S.R.L.,,Società a responsabilità limitata,"Via Cassia, 1081, 00189",Roma,RM,Commercio all'ingrosso di vari prodotti di consumo non alimentare nca,Distribuzione,Dato non disponibile,Dato non disponibile,Azionista,,15.00
PI00519,128973,CO00306,821970,PE01193,VEREDIL S.R.L.,,Società a responsabilità limitata,"Viale Monza, 107, 20125",Milano,MI,"Commercio al dettaglio di materiali da costruzione, ceramiche e piastrelle",Distribuzione,Tra 2.000.000 e 10.000.000 euro,Da 3 a 10,Azionista,,20.00
PI00526,135593,CO00316,496147,PE01176,AGENZIA*MONVISO S.R.L.,,Società a responsabilità limitata,"Corso Unione Sovietica, 427, 10135",Torino,TO,Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri,Distribuzione,Dato non disponibile,Dato non disponibile,Azionista,,9.00
PI00527,135592,CO00315,496147,PE01176,MONVISO AUTOMOTIVE SOCIETA' A RESPONSABILITA' LIMITATA,,Società a responsabilità limitata,"Piazza Solferino, 20, 10121",Torino,TO,Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri,Distribuzione,Dato non disponibile,Dato non disponibile,Azionista,,100.00
PI00430,135638,CO00361,958635,PE01299,SCUOLA DELLA MISERICORDIA DI VENEZIA S.P.A.,,Società per azioni,"Via Colombara, 113, 30176","Marghera, Venezia",VE,Costruzione di edifici residenziali e non residenziali,Edilizia,Dato non disponibile,Dato non disponibile,Consigliere,07/04/2009,
PI00439,135624,CO00347,530647,PE01253,TELENIA - S.R.L.,,Società a responsabilità limitata,"Via Michele Di Lando, 10, 00162",Roma,RM,Costruzione di edifici residenziali e non residenziali,Edilizia,Dato non disponibile,Dato non disponibile,Amministratore unico,27/11/2017,
PI00440,135623,CO00346,530647,PE01253,LM IMMOBILIARE SRL,,Società a responsabilità limitata,"Via Alfredo Blasi, 74, 00133",Roma,RM,Costruzione di edifici residenziali e non residenziali,Edilizia,Dato non disponibile,Dato non disponibile,Amministratore unico,14/05/2014,
PI00460,135598,CO00321,495335,PE01177,SITEM S.R.L.,,Società a responsabilità limitata,"Via Beatrice Acquaviva D'Aragona, 19, 73020",Cavallino,LE,"Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione)",Edilizia,Dato non disponibile,Dato non disponibile,Revisore dei conti,07/07/2022,
PI00493,94212,CO00285,822844,PE01048,SABESA S.P.A.,,Società per azioni,"Via Celle, 2, 80078",Pozzuoli,NA,COSTRUZIONE DI OPERE DI PUBBLICA UTILITÀ,Edilizia,Tra 10.000.000 e 50.000.000 euro,Da 11 a 50,Azionista,,20.15
PI00498,96335,CO00067,499643,PE01090,SE.CO.P. SRL,,Società a responsabilità limitata,"Via Panebianco, 177, 87100",Cosenza,CS,Costruzione di edifici residenziali e non residenziali,Edilizia,Dato non disponibile,Da 51 a 250,Azionista,,60.00
PI00505,135634,CO00357,959863,PE01289,RUSSO COSTRUZIONI S.R.L.,,Società a responsabilità limitata,"Viale Porro, 1, 43039",Salsomaggiore Terme,PR,Costruzione di edifici residenziali e non residenziali,Edilizia,Dato non disponibile,Dato non disponibile,Azionista,,7.42
PI00511,135623,CO00346,530647,PE01253,LM IMMOBILIARE SRL,,Società a responsabilità limitata,"Via Alfredo Blasi, 74, 00133",Roma,RM,Costruzione di edifici residenziali e non residenziali,Edilizia,Dato non disponibile,Dato non disponibile,Azionista,,40.00
PI00193,96438,CO00135,819521,PE00795,ARNOLDO MONDADORI EDITORE SPA,,Società per azioni,"Via Bianca Di Savoia, 12, 20122",Milano,MI,Edizione di riviste e periodici,Editoria,Maggiore di 50.000.000 euro,Più di 250,Consigliere,19/04/2012,
PI00449,96293,CO00033,862490,PE01209,SECOLO D'ITALIA S.R.L.,,Società a responsabilità limitata con un unico socio,"Via Della Scrofa, 39, 00186",Roma,RM,Edizione di quotidiani,Editoria,Minore o uguale a 250.000 euro,Da 11 a 50,Consigliere,05/07/2011,
PI00514,96409,CO00288,645014,PE01227,PROGETTO FISCO S.R.L.,,Società a responsabilità limitata,"Via Giuseppe Avezzana, 45, 00195",Roma,RM,Edizione di libri,Editoria,Minore o uguale a 250.000 euro,Fino a 2,Azionista,,40.00
PI00040,96293,CO00033,496869,PE00390,SECOLO D'ITALIA S.R.L.,,Società a responsabilità limitata con un unico socio,"Via Della Scrofa, 39, 00186",Roma,RM,Edizione di quotidiani,Editoria,Minore o uguale a 250.000 euro,Da 11 a 50,Azionista,,100.00
PI00539,135589,CO00312,819334,PE00045,DRD S.R.L.,,Società a responsabilità limitata,"Via Del Monte Oppio, 5, 00184",Roma,RM,Edizione di quotidiani,Editoria,Dato non disponibile,Dato non disponibile,Azionista,,2.17
PI00415,135591,CO00314,495948,PE01039,OVERNET SOLUTIONS S.R.L.,,Società a responsabilità limitata,"Strada 4, 20089",Rozzano,MI,Corsi di formazione e corsi di aggiornamento professionale,Educazione,Dato non disponibile,Dato non disponibile,Presidente,06/10/2022,
PI00445,110228,CO00303,495619,PE01222,SARDEGNA SAPERE IMPRESA SOCIALE S.R.L.,,Società a responsabilità limitata,"Via Roma, 173, 09124",Cagliari,CA,Corsi di formazione e corsi di aggiornamento professionale,Educazione,Minore o uguale a 250.000 euro,Fino a 2,Consigliere,27/08/2021,
PI00478,135597,CO00320,499242,PE01152,ISTITUTO SANT'ANTIDA SOCIETA' COOPERATIVA SOCIALE - ONLUS,,Società cooperativa sociale,"Via Sant'Antida, 27, 81100",Caserta,CE,Istruzione primaria: scuole elementari,Educazione,Dato non disponibile,Dato non disponibile,Presidente del consiglio di amministrazione,25/04/2019,
PI00528,134747,CO00310,849688,PE01162,CDS FORMAZIONE SRL,,Società a responsabilità limitata,"Via Aldo Moro, 14, 25124",Brescia,BS,Corsi di formazione e corsi di aggiornamento professionale,Educazione,Minore o uguale a 250.000 euro,Fino a 2,Azionista,,60.00
PI00442,125842,CO00305,498641,PE01232,HAMAMATSU PHOTONICS ITALIA S.R.L.,,Società a responsabilità limitata con un unico socio,"Strada Della Moia, 1/INT.6, 20020",Arese,MI,Commercio all'ingrosso di altre apparecchiature elettroniche per telecomunicazioni e di altri componenti elettronici,Elettronica,Tra 10.000.000 e 50.000.000 euro,Da 11 a 50,Consigliere,30/11/2011,
PI00052,96305,CO00042,494253,PE00167,ELIA S.R.L.,,Società a responsabilità limitata,"Zona Artigianale, 09090",Marrubiu,OR,Fabbricazione di altri componenti elettronici,Elettronica,Dato non disponibile,Da 51 a 250,Sindaco supplente,30/05/2000,
PI00437,24587,CO00276,959172,PE01256,MEGARETI S.P.A.,,Società per azioni,"LUNGADIGE GALTAROSSA, 8 - 37133",Verona,VR,Distribuzione di combustibili gassosi mediante condotte,Energia,Maggiore di 50.000.000 euro,Da 51 a 250,Consigliere,03/03/2022,
PI00443,135622,CO00345,494380,PE01231,FARMACIA MACCARI DI MACCARI CARLO & C. S.N.C.,,Società in nome collettivo,"Via Fabio Filzi, 61, 46040",Guidizzolo,MN,Farmacie,Farmaceutica,Dato non disponibile,Dato non disponibile,Amministratore,16/12/2016,
PI00512,135622,CO00345,494380,PE01231,FARMACIA MACCARI DI MACCARI CARLO & C. S.N.C.,,Società in nome collettivo,"Via Fabio Filzi, 61, 46040",Guidizzolo,MN,Farmacie,Farmaceutica,Dato non disponibile,Dato non disponibile,Azionista,,66.67
PI00056,96311,CO00046,822351,PE00160,AGIELLE CONSULTING SOCIETA' A RESPONSABILITA' LIMITATA,,Società a responsabilità limitata,"Via San Giacomo, 32, 80133",Napoli,NA,Agenti di assicurazioni,Finanziario,Tra 250.000 e 2.000.000 euro,Da 3 a 10,Amministratore unico,29/06/2009,
