private_interest_id,company_id_openpolis,company_id_transparency,person_id_openpolis,person_id_transparency,company_name,company_vat,company_type,company_headquarter_address,company_headquarter_municipality,company_headquarter_province,company_sector_description,company_transparency_sector,company_turnover_range,company_employees_range,person_company_role,person_company_role_starting_date,person_company_share_%
PI00382,131556,CO00258,819597,PE00206,KOLINPHARMA S.P.A.,,Società per azioni,"Via Larga, 8",Milano,MI,Produzione di preparati omogeneizzati e di alimenti dietetici,Agroalimentare,Tra 2.000.000 e 10.000.000 euro,Da 51 a 250,Sindaco effettivo,43950,
PI00391,131688,CO00263,501176,PE00917,LEONESSA SALUMI TIPICI SRLS,,Società a responsabilità limitata,"Corso San Giuseppe, 163",Leonessa,RI,Produzione di prodotti a base di carne (inclusa la carne di volatili),Agroalimentare,Minore o uguale a 250.000 euro,Fino a 2,Azionista,,20
PI00103,96356,CO00079,822226,PE00438,NOVELLA CONSERVE ALIMENTARI S.R.L.,,Società a responsabilità limitata,"Via Alessandro Volta, 115",Badia Polesine,RO,Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi),Agroalimentare,Tra 2.000.000 e 10.000.000 euro,Da 11 a 50,Azionista,,20
PI00101,96356,CO00079,822226,PE00438,NOVELLA CONSERVE ALIMENTARI S.R.L.,,Società a responsabilità limitata,"Via Alessandro Volta, 115",Badia Polesine,RO,Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi),Agroalimentare,Tra 2.000.000 e 10.000.000 euro,Da 11 a 50,Consigliere,41016,
PI00102,96356,CO00079,822226,PE00438,NOVELLA CONSERVE ALIMENTARI S.R.L.,,Società a responsabilità limitata,"Via Alessandro Volta, 115",Badia Polesine,RO,Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi),Agroalimentare,Tra 2.000.000 e 10.000.000 euro,Da 11 a 50,Presidente del consiglio di amministrazione,41016,
PI00003,2052,CO00003,819346,PE00929,AGROMED SOCIETA' CONSORTILE A R.L.,02576730739,Società consortile,"Viale Virgilio, 152",Taranto,TA,Consulenza agraria,Agroalimentare,Minore o uguale a 250.000 euro,Dato non disponibile,Sindaco effettivo - terminato,41263,
PI00310,96391,CO00105,819204,PE00187,SOCIETA' AGRICOLA F.LLI CASSESE S.S.,,Società semplice,"Via Achille Grandi, 11",Grottaglie,TA,Coltivazioni agricole associate all'allevamento di animali: attività mista,Agroalimentare,Dato non disponibile,Da 11 a 50,Azionista,,5.13
PI00143,96391,CO00105,819204,PE00187,SOCIETA' AGRICOLA F.LLI CASSESE S.S.,,Società semplice,"Via Achille Grandi, 11",Grottaglie,TA,Coltivazioni agricole associate all'allevamento di animali: attività mista,Agroalimentare,Dato non disponibile,Da 11 a 50,Socio,43179,
PI00307,108758,CO00229,822274,PE00843,KALTERERHOF BIRRIFICIO BRAUEREI SRL,,Società a responsabilità limitata,"Passo Passo Della Mendola, 53",Ruffrè Mendola,TN,Produzione di birra,Agroalimentare,Minore o uguale a 250.000 euro,Da 3 a 10,Azionista - terminato,,5
PI00306,108758,CO00229,822274,PE00843,KALTERERHOF BIRRIFICIO BRAUEREI SRL,,Società a responsabilità limitata,"Passo Passo Della Mendola, 53",Ruffrè Mendola,TN,Produzione di birra,Agroalimentare,Minore o uguale a 250.000 euro,Da 3 a 10,Consigliere - terminato,42944,
PI00309,103978,CO00236,646831,PE00880,SAN VALENTINO DI STEFANI GIOVANNI S.A.S. DI DOARDO ENRICA & C.,,Società in accomandita semplice,"Via Stazione, 1",Trissino,VI,Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi),Agroalimentare,Dato non disponibile,Da 11 a 50,Azionista,,24
PI00308,103978,CO00236,646831,PE00880,SAN VALENTINO DI STEFANI GIOVANNI S.A.S. DI DOARDO ENRICA & C.,,Società in accomandita semplice,"Via Stazione, 1",Trissino,VI,Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi),Agroalimentare,Dato non disponibile,Da 11 a 50,Socio accomandatario,43672,
PI00094,96345,CO00074,819616,PE00373,SOCIETA' COOPERATIVA AGRICOLA CONSORTILE COLLIS VENETO WINE GROUP IN BREVE COLLIS O COLLIS WINE GROUP O C.W.G.,,Società consortile,"Via Cappuccini, 6",Monteforte d'Alpone,VR,Coltivazione di uva,Agroalimentare,Maggiore di 50.000.000 euro,Da 51 a 250,Consigliere - terminato,43157,
PI00095,96345,CO00074,819616,PE00373,SOCIETA' COOPERATIVA AGRICOLA CONSORTILE COLLIS VENETO WINE GROUP IN BREVE COLLIS O COLLIS WINE GROUP O C.W.G.,,Società consortile,"Via Cappuccini, 6",Monteforte d'Alpone,VR,Coltivazione di uva,Agroalimentare,Maggiore di 50.000.000 euro,Da 51 a 250,Presidente del consiglio di amministrazione - terminato,43180,
PI00007,16102,CO00007,822302,PE00829,"PROGETTO SVILUPPO MATESE S.R.L. IN SIGLA: ""PRO.SVI.MA. S.R.L.""",,Società a responsabilità limitata,"Piazza Roma, 1",Piedimonte Matese,CE,,Altro,Dato non disponibile,Dato non disponibile,Presidente del consiglio di amministrazione,37613,
PI00025,84875,CO00020,500229,PE00075,CONSORZIO PER LA VALORIZZAZIONE E LA TUTELA DEL PORRO CERVERE,,Società consortile,"Piazza Umberto, 1",Cervere,CN,Attività per la tutela di beni di produzione controllata,Altro,Minore o uguale a 250.000 euro,Dato non disponibile,Consigliere - terminato,38567,
PI00026,84875,CO00020,500229,PE00075,CONSORZIO PER LA VALORIZZAZIONE E LA TUTELA DEL PORRO CERVERE,,Società consortile,"Piazza Umberto, 1",Cervere,CN,Attività per la tutela di beni di produzione controllata,Altro,Minore o uguale a 250.000 euro,Dato non disponibile,Presidente del consiglio di amministrazione - terminato,38567,
PI00399,131547,CO00260,819575,PE00139,LAB MANAGEMENT & CONSULTING S.R.L. IN BREVE LAB M&C - S.R.L.,,Società a responsabilità limitata,"Via Aurelio Bianchi Giovini, 3",Como,CO,Ricerche di mercato e sondaggi di opinione,Altro,Minore o uguale a 250.000 euro,Fino a 2,Azionista,,66.67
PI00235,96474,CO00165,549300,PE00770,FIERA PARKING - S.P.A.,,Società per azioni,"Largo Domodossola, 1",Milano,MI,Gestione di parcheggi e autorimesse,Altro,Tra 2.000.000 e 10.000.000 euro,Fino a 2,Sindaco supplente - terminato,43059,
PI00316,103998,CO00219,505727,PE00664,BUILDING SOLUTION S.R.L.,,Società a responsabilità limitata,"Via Pietro Borsieri, 30",Milano,MI,"Altre attività professionali, scientifiche e tecniche nca",Altro,Minore o uguale a 250.000 euro,Fino a 2,Azionista - terminato,,50
PI00315,103998,CO00219,505727,PE00664,BUILDING SOLUTION S.R.L.,,Società a responsabilità limitata,"Via Pietro Borsieri, 30",Milano,MI,"Altre attività professionali, scientifiche e tecniche nca",Altro,Minore o uguale a 250.000 euro,Fino a 2,Amministratore unico - terminato,42476,
PI00088,96337,CO00069,496810,PE00871,SKYLAB ENERGIA S.R.L.,,Società a responsabilità limitata,"Via Benedetto Cairoli, 4",Novara,NO,Collaudi e analisi tecniche di prodotti,Altro,Tra 250.000 e 2.000.000 euro,Da 3 a 10,Azionista,,17.5
PI00173,96413,CO00120,498977,PE00510,NOVA VERDE SRL,,Società a responsabilità limitata,"Via Romanzani, 20",Novara,NO,"Cura e manutenzione del paesaggio (inclusi parchi, giardini e aiuole)",Altro,Tra 250.000 e 2.000.000 euro,Da 11 a 50,Azionista,,50
PI00171,96411,CO00118,818987,PE00797,PREMIER SERVICE - SRL,,Società a responsabilità limitata,"Via Francesco Gentile, 135",Roma,RM,Attività dei call center,Altro,Tra 250.000 e 2.000.000 euro,Da 3 a 10,Azionista,,70
PI00317,103956,CO00237,819436,PE00202,SOCIOMETRICA SOCIETA' A RESPONSABILITA' LIMITATA,,Società a responsabilità limitata,"Via Poggio Nativo, 6",Roma,RM,Ricerche di mercato e sondaggi di opinione,Altro,Minore o uguale a 250.000 euro,Dato non disponibile,Azionista,,2
PI00373,134438,CO00252,494177,PE00551,MEDITERRANEAN SALT COMPANY S.R.L.,,Società a responsabilità limitata,"Piazza Di Firenze, 24",Roma,RM,Estrazione di sale,Altro,Minore o uguale a 250.000 euro,Fino a 2,Presidente del consiglio di amministrazione,41109,
PI00374,134438,CO00252,494177,PE00551,MEDITERRANEAN SALT COMPANY S.R.L.,,Società a responsabilità limitata,"Piazza Di Firenze, 25",Roma,RM,Estrazione di sale,Altro,Minore o uguale a 250.000 euro,Fino a 2,Consigliere,41109,
PI00385,131547,CO00260,819575,PE00139,LAB MANAGEMENT & CONSULTING S.R.L. IN BREVE LAB M&C - S.R.L.,,Società a responsabilità limitata,"Via Aurelio Bianchi Giovini, 3",Como,CO,Ricerche di mercato e sondaggi di opinione,Altro,Minore o uguale a 250.000 euro,Fino a 2,Amministratore unico,43861,
PI00029,86139,CO00023,822321,PE00474,VERSALIS S.P.A.,,Società per azioni,"Piazza Marcello Boldrini, 1",San Donato Milanese,MI,"FABBRICAZIONE DI PRODOTTI CHIMICI DI BASE, DI FERTILIZZANTI E COMPOSTI AZOTATI, DI MATERIE PLASTICHE E GOMMA SINTETICA IN FORME PRIMARIE",Chimico,Maggiore di 50.000.000 euro,Più di 250,Sindaco effettivo,41387,
PI00186,96425,CO00129,819473,PE00177,BIOCHIM S.R.L.,,Società a responsabilità limitata,"Via Roberto Sarfatti, 3",Milano,MI,Fabbricazione di prodotti chimici nca,Chimico,Tra 2.000.000 e 10.000.000 euro,Da 11 a 50,Azionista,,23.67
PI00013,29612,CO00011,516519,PE00686,"SOCIETA' INFRASTRUTTURE ALTA VALCAMONICA S.P.A.  IN SIGLA ""S.I.A.V. S.P.A.""",,Società per azioni,"Via Fratelli Calvi, 53/I",Ponte di Legno,BS,Pubbliche relazioni e comunicazione,Comunicazione,Tra 250.000 e 2.000.000 euro,Da 3 a 10,Consigliere - terminato,38775,
PI00014,29612,CO00011,516519,PE00686,"SOCIETA' INFRASTRUTTURE ALTA VALCAMONICA S.P.A.  IN SIGLA ""S.I.A.V. S.P.A.""",,Società per azioni,"Via Fratelli Calvi, 53/I",Ponte di Legno,BS,Pubbliche relazioni e comunicazione,Comunicazione,Tra 250.000 e 2.000.000 euro,Da 3 a 10,Presidente del consiglio di amministrazione - terminato,38780,
PI00001,1670,CO00001,549300,PE00770,EXPLORA S.C.P.A.,,Società consortile,"Via Fabio Filzi, 22",Milano,MI,Pubbliche relazioni e comunicazione,Comunicazione,Tra 250.000 e 2.000.000 euro,Da 11 a 50,Sindaco effettivo - terminato,42499,
PI00106,96358,CO00081,497048,PE00114,CINQUEVIE S.R.L.,,Società a responsabilità limitata,"Piazza Della Conciliazione, 5",Milano,MI,Organizzazione di convegni e fiere,Comunicazione,Minore o uguale a 250.000 euro,Fino a 2,Azionista,,10
PI00199,96442,CO00139,504545,PE00420,VISIBILIA S.R.L.,,Società a responsabilità limitata,"Via Pompeo Litta, 9",Milano,MI,Attività delle concessionarie e degli altri intermediari di servizi pubblicitari,Comunicazione,Tra 2.000.000 e 10.000.000 euro,Da 3 a 10,Azionista,,95
PI00198,96442,CO00139,504545,PE00420,VISIBILIA S.R.L.,,Società a responsabilità limitata,"Via Pompeo Litta, 9",Milano,MI,Attività delle concessionarie e degli altri intermediari di servizi pubblicitari,Comunicazione,Tra 2.000.000 e 10.000.000 euro,Da 3 a 10,Amministratore unico - terminato,40931,
PI00210,96455,CO00146,536084,PE00972,BE PROUD S.R.L.,,Società a responsabilità limitata,"Galleria Delle Porte Contarine, 4",Padova,PD,Organizzazione di convegni e fiere,Comunicazione,Tra 250.000 e 2.000.000 euro,Fino a 2,Azionista,,52
PI00209,96455,CO00146,536084,PE00972,BE PROUD S.R.L.,,Società a responsabilità limitata,"Galleria Delle Porte Contarine, 4",Padova,PD,Organizzazione di convegni e fiere,Comunicazione,Tra 250.000 e 2.000.000 euro,Fino a 2,Amministratore unico,42103,
PI00188,96434,CO00131,819003,PE00935,IWS ITALY WORLD SERVICES S.R.L.,,Società a responsabilità limitata,"Via Vittoria Colonna, 11",Roma,RM,Pubbliche relazioni e comunicazione,Comunicazione,Tra 250.000 e 2.000.000 euro,Fino a 2,Azionista - terminato,,31
PI00051,96304,CO00041,502880,PE00629,"GRUPPO VITICULTORI DEI COLLI ORIENTALI DEL FRIULI IN CORNO DI ROSAZZO - CONSORZIO PER LA VALORIZZAZIONE DI VINI PRODOTTI NEI COMUNI RICADENTI ALL'INTERNO DELLA D.O.C. ""COLLI ORIENTALI DEL FRIULI""",,Società consortile,"Piazza XXVII Maggio, 23",Corno di Rosazzo,UD,Pubbliche relazioni e comunicazione,Comunicazione,Minore o uguale a 250.000 euro,Fino a 2,Consigliere - terminato,42061,
PI00323,96216,CO00234,819212,PE00867,POLYCONSULTING S.R.L.,,Società a responsabilità limitata,"Via Giuseppe Fanelli, 10/TR.227",Bari,BA,Attività degli studi di ingegneria,Consulenza,Minore o uguale a 250.000 euro,Dato non disponibile,Azionista,,15
PI00320,103928,CO00230,819597,PE00206,"MANZONI & DI RUBBA SOCIETA' TRA PROFESSIONISTI A RESPONSABILITA' LIMITATA IN BREVE ANCHE ""MANZONI & DI RUBBA STP SRL"" OVVERO ""MDR STP SRL""",,Società a responsabilità limitata,"Via Xx Settembre, 70",Bergamo,BG,Servizi forniti da dottori commercialisti,Consulenza,Minore o uguale a 250.000 euro,Da 11 a 50,Azionista,,2
PI00321,103928,CO00230,503701,PE00113,"MANZONI & DI RUBBA SOCIETA' TRA PROFESSIONISTI A RESPONSABILITA' LIMITATA IN BREVE ANCHE ""MANZONI & DI RUBBA STP SRL"" OVVERO ""MDR STP SRL""",,Società a responsabilità limitata,"Via Xx Settembre, 70",Bergamo,BG,Servizi forniti da dottori commercialisti,Consulenza,Minore o uguale a 250.000 euro,Da 11 a 50,Azionista,,2
PI00250,96494,CO00176,494583,PE00725,STUDIO PICHETTO & ASSOCIATI S.R.L.,,Società a responsabilità limitata,"Via Giacomo Matteotti, 14",Biella,BI,"Attività degli studi commerciali, tributari e revisione contabile",Consulenza,Minore o uguale a 250.000 euro,Da 3 a 10,Azionista,,51
PI00318,104009,CO00222,867594,PE00988,CONFAGRI SOCIETA' UNIPERSONALE DI CONSULENZA E SERVIZI A RESPONSABILITA' LIMITA,,Società a responsabilità limitata con un unico socio,"Via Piave, 3",Cosenza,CS,Attività svolta dai Centri di assistenza fiscale (Caf),Consulenza,Minore o uguale a 250.000 euro,Da 3 a 10,Consigliere - terminato,41292,
PI00319,100694,CO00226,494763,PE00961,EHIC SOCIETA' A RESPONSABILITA' LIMITATA,,Società a responsabilità limitata,"Via Padova, 2",Caraffa di Catanzaro,CZ,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Dato non disponibile,Dato non disponibile,Consigliere,43740,
PI00322,94277,CO00231,494763,PE00961,OLTRE OPEN INNOVATION HUB SOCIETA' A RESPONSABILITA' LIMITATA,,Società a responsabilità limitata,"Via Padova, 2",Caraffa di Catanzaro,CZ,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Minore o uguale a 250.000 euro,Fino a 2,Azionista - terminato,,2.33
PI00362,94277,CO00272,494763,PE00961,ENTOPAN INNOVATION S.R.L.,,Società a responsabilità limitata,"Via Padova, 2",Caraffa di Catanzaro,CZ,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Minore o uguale a 250.000 euro,Fino a 2,Consigliere,43776,
PI00390,94277,CO00272,494763,PE00961,ENTOPAN INNOVATION S.R.L.,,Società a responsabilità limitata,"Via Padova, 2",Caraffa di Catanzaro,CZ,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Tra 250.000 e 2.000.000 euro,Fino a 2,Azionista,,1.16
PI00359,104027,CO00245,494763,PE00961,ENTOPAN S.R.L.,,Società a responsabilità limitata,"Via Padova, 2",Caraffa di Catanzaro,CZ,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Tra 250.000 e 2.000.000 euro,Fino a 2,Consigliere,43854,
PI00182,96419,CO00125,819545,PE00027,WORK WEALTH S.P.A.,,Società per azioni,"Via Robert Baden Powell, SNC",Galatone,LE,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Minore o uguale a 250.000 euro,Da 3 a 10,Presidente del collegio sindacale,41759,
PI00326,103949,CO00238,644832,PE00786,SVILUPPO 12 S.R.L.,,Società a responsabilità limitata,"Via Maurizio Gonzaga, 2",Milano,MI,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Minore o uguale a 250.000 euro,Dato non disponibile,Azionista,,100
PI00324,103949,CO00238,644832,PE00786,SVILUPPO 12 S.R.L.,,Società a responsabilità limitata,"Via Maurizio Gonzaga, 2",Milano,MI,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Minore o uguale a 250.000 euro,Dato non disponibile,Amministratore unico,43338,
PI00325,103949,CO00238,644832,PE00786,SVILUPPO 12 S.R.L.,,Società a responsabilità limitata,"Via Maurizio Gonzaga, 2",Milano,MI,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Minore o uguale a 250.000 euro,Dato non disponibile,Socio,43338,
PI00089,96338,CO00070,496810,PE00871,CONSORZIO G.A.S. GESTIONE AMMINISTRATIVA SOCIETA',,Società consortile,"Via Benedetto Cairoli, 4",Novara,NO,ATTIVITÃ€ DI CONSULENZA GESTIONALE,Consulenza,Minore o uguale a 250.000 euro,Da 3 a 10,Consigliere - terminato,39804,
PI00090,96338,CO00070,496810,PE00871,CONSORZIO G.A.S. GESTIONE AMMINISTRATIVA SOCIETA',,Società consortile,"Via Benedetto Cairoli, 4",Novara,NO,ATTIVITÃ€ DI CONSULENZA GESTIONALE,Consulenza,Minore o uguale a 250.000 euro,Da 3 a 10,Vice Presidente - terminato,39804,
PI00091,96339,CO00071,541134,PE00093,"STUDIO BITONCI, MENDO & ASSOCIATI S.R.L.",,Società a responsabilità limitata,"Via Antenore, 2",Cittadella,PD,"Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività in materia di amministrazione, contabilità e tributi",Consulenza,Tra 250.000 e 2.000.000 euro,Fino a 2,Azionista,,50
PI00392,131552,CO00264,506970,PE00164,LOCARE S.R.L.,,Società a responsabilità limitata,"Viale Del Lavoro, 2/G",Vigonza,PD,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Minore o uguale a 250.000 euro,Da 3 a 10,Azionista,,1.41
PI00048,96302,CO00039,822285,PE00870,PROGETTARE ZEROSEI S.R.L.,,Società a responsabilità limitata,Via Antonio Gramsci,Reggio nell'Emilia,RE,ATTIVITÃ€ DI CONSULENZA GESTIONALE,Consulenza,Tra 250.000 e 2.000.000 euro,Da 3 a 10,Consigliere,42824,
PI00300,96559,CO00211,498646,PE00878,FIGISC SERVICE SRL,,Società a responsabilità limitata,"Piazza Giuseppe Gioachino Belli, 2",Roma,RM,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Minore o uguale a 250.000 euro,Fino a 2,Consigliere,43451,
PI00170,96410,CO00117,819234,PE00077,BENELLI ARMI S.P.A.,,Società per azioni,"Via Della Stazione, 50",Urbino,PU,Fabbricazione di armi e munizioni,Difesa,Maggiore di 50.000.000 euro,Più di 250,Consigliere,42493,
PI00255,96499,CO00181,494583,PE00725,MACHIERALDO GUSTAVO - S.P.A.,,Società per azioni,"Via Villetta Stra', 12",Cavaglià,BI,Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta),Distribuzione,Tra 10.000.000 e 50.000.000 euro,Da 51 a 250,Sindaco supplente,41428,
PI00304,,CO00214,,PE00905,OLIDATA S.P.A.,01785490408,Società per azioni,"Via Fossalta, 3055",Cesena,FO,Commercio all'ingrosso di elaboratori elettronici e di apparecchiature similari e complementari,Distribuzione,Dato non disponibile,Da 11 a 50,Consigliere - terminato,43203,
PI00134,96383,CO00099,494213,PE00084,NOVELLI 1934 S.R.L.,,Società a responsabilità limitata,"Via Di Francia, 34/R",Genova,GE,Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri,Distribuzione,Maggiore di 50.000.000 euro,Da 51 a 250,Azionista,,17.7
PI00131,96381,CO00097,819562,PE00986,ZUCCONI RICCARDO,,Impresa individuale non agricola,"Viale Guglielmo Marconi, 62",Viareggio,LU,Commercio al dettaglio di generi di monopolio (tabaccherie),Distribuzione,Dato non disponibile,Da 11 a 50,Titolare,35697,
PI00082,96331,CO00064,494565,PE00159,ITALIA CONSULT CHEMICALS S.P.A.,,Società per azioni,"Piazza Duca D'Aosta, 12",Milano,MI,Commercio all'ingrosso di prodotti chimici,Distribuzione,Tra 10.000.000 e 50.000.000 euro,Da 3 a 10,Azionista,,10
PI00299,96558,CO00210,498646,PE00878,PLUSPETROL SRL,,Società a responsabilità limitata,"Via Pietrasanta, 12",Milano,MI,Commercio al dettaglio di carburante per autotrazione,Distribuzione,Tra 2.000.000 e 10.000.000 euro,Da 3 a 10,Azionista,,70
PI00298,96558,CO00210,498646,PE00878,PLUSPETROL SRL,,Società a responsabilità limitata,"Via Pietrasanta, 12",Milano,MI,Commercio al dettaglio di carburante per autotrazione,Distribuzione,Tra 2.000.000 e 10.000.000 euro,Da 3 a 10,Amministratore unico,33318,
PI00107,96361,CO00082,822214,PE00984,SOCIETA' COOPERATIVA BIOANCH'IO,,Società cooperativa diversa,"Via Francia, 17",Curtatone,MN,Commercio al dettaglio in esercizi non specializzati con prevalenza di prodotti alimentari e bevande,Distribuzione,Tra 250.000 e 2.000.000 euro,Fino a 2,Consigliere,40884,
PI00137,96388,CO00102,819594,PE00579,M&M ZENTRUM GROUP S.R.L.,,Società a responsabilità limitata,"Lungomare Papa Giovanni XXIII, 22",Pescara,PE,Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri,Distribuzione,Minore o uguale a 250.000 euro,Da 11 a 50,Azionista,,5
PI00360,96388,CO00102,819594,PE00579,M&M ZENTRUM GROUP S.R.L.,,Società a responsabilità limitata,"Lungomare Papa Giovanni Xxiii, 22 ",Pescara,PE,Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri,Distribuzione,Minore o uguale a 250.000 euro,Da 11 a 50,Presidente del consiglio di amministrazione,43902,
PI00361,96388,CO00102,819594,PE00579,M&M ZENTRUM GROUP S.R.L.,,Società a responsabilità limitata,"Lungomare Papa Giovanni Xxiii, 23",Pescara,PE,Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri,Distribuzione,Minore o uguale a 250.000 euro,Da 11 a 50,Consigliere,43902,
PI00125,96376,CO00092,553155,PE00151,AUTOBASEPARMA SOCIETA' A RESPONABILITA' LIMITATA,,Società a responsabilità limitata con un unico socio,"Via Reggio, 39/A",Parma,PR,Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri,Distribuzione,Tra 250.000 e 2.000.000 euro,Fino a 2,Azionista,,100
PI00122,96376,CO00092,553155,PE00151,AUTOBASEPARMA SOCIETA' A RESPONABILITA' LIMITATA,,Società a responsabilità limitata con un unico socio,"Via Reggio, 39/A",Parma,PR,Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri,Distribuzione,Tra 250.000 e 2.000.000 euro,Fino a 2,Amministratore delegato,38565,
PI00123,96376,CO00092,553155,PE00151,AUTOBASEPARMA SOCIETA' A RESPONABILITA' LIMITATA,,Società a responsabilità limitata con un unico socio,"Via Reggio, 39/A",Parma,PR,Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri,Distribuzione,Tra 250.000 e 2.000.000 euro,Fino a 2,Consigliere,38472,
