declaration_id,donation_id_transparency,donation_amount,donation_range,,donation_type,donation_year,donation_date,donation_origin,recipient_id_transparency,person_id_recipient,recipient_type,recipient_person_entry,recipient_last_name,recipient_name,recipient_party,donor_id_transparency,company_id_transparency,person_id_transparency,donor_type,donor_person_entry,donor_last_name_01,donor_name_01,donor_gender_01,donor_last_name_02,donor_name_02,donor_gender_02,source_name,additional_notes,record_date_of_entry
34990,DO201800015,800,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO01245,,PE00878,Parlamentare o membro del Governo,squeriluca,Squeri,Luca,M,,,,joint_declaration,,
33763,DO201800016,1000,"500,00-5.000,00",,contribution,2018,,,RE00044,PE00188,Parlamentare o membro del Governo,cassinelliroberto,Cassinelli,Roberto,Forza Italia,DO00004,,,"Associazione, fondazione o comitato",,Associazione Culturale Now – Genova,,,,,,joint_declaration,,
33988,DO201800017,1000,"500,00-5.000,00",,contribution,2018,,,RE00074,PE00596,Parlamentare o membro del Governo,micelicarmelo,Miceli,Carmelo,Partito Democratico,DO00057,,,Società o professionista,,Costa Saracena srl,,,,,,joint_declaration,,
33471,DO201800018,1000,"500,00-5.000,00",,contribution,2018,,,RE00036,PE00090,Parlamentare o membro del Governo,binicaterina,Bini,Caterina,Partito Democratico,DO00084,,,Società o professionista,,Free srl,,,,,,joint_declaration,,
34446,DO201800019,1000,"500,00-5.000,00",,contribution,2018,,,RE00008,,Partito o movimento politico,,Fratelli d'Italia,,Fratelli d'Italia,DO00826,,PE00538,Parlamentare o membro del Governo,maffonigianpietro,Maffoni,Gianpietro,M,,,,joint_declaration,,
34213,DO201800020,1000,"500,00-5.000,00",,contribution,2018,,,RE00083,PE00703,Parlamentare o membro del Governo,pentangeloantonio,Pentangelo,Antonio,Forza Italia,DO00250,,,Persona,amodioumberto,Amodio,Umberto,M,,,,joint_declaration,,
33764,DO201800021,1000,"500,00-5.000,00",,contribution,2018,,,RE00044,PE00188,Parlamentare o membro del Governo,cassinelliroberto,Cassinelli,Roberto,Forza Italia,DO00429,,,Persona,carraramario,Carrara,Mario,M,,,,joint_declaration,,
34609,DO201800022,"1036,72","500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00621,,,Persona,federspielermartin,Federspieler,Martin,M,,,,joint_declaration,,
34615,DO201800023,"1061,35","500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00781,,,Persona,ladurnerchrista,Ladurner,Christa,F,,,,joint_declaration,,
34612,DO201800024,1200,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00773,,,Persona,kienzlrichard,Kienzl,Richard,M,,,,joint_declaration,,
34624,DO201800025,"1304,6","500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO01106,,,Persona,reinalterjoachim,Reinalter,Joachim,M,,,,joint_declaration,,
32358,DO201800026,1500,"500,00-5.000,00",,service,2018,,,RE00095,PE00855,Parlamentare o membro del Governo,sianipaolo,Siani,Paolo,Partito Democratico,DO00100,,,Società o professionista,,Hart srl,,,,,,joint_declaration,,
35510,DO201800027,1500,"500,00-5.000,00",,contribution,2018,,,RE00005,,Partito o movimento politico,,Articolo 1,,Articolo 1,DO00533,,,Persona,dattorrealfredo,D'Attorre,Alfredo,M,,,,joint_declaration,,
34639,DO201800028,"1504,6","500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO01360,,,Persona,wiedmerperkmannangelika,Wiedmer Perkmann,Angelika,F,,,,joint_declaration,,
34950,DO201800029,1600,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO00376,,PE00127,Parlamentare o membro del Governo,brunettarenato,Brunetta,Renato,M,,,,joint_declaration,,
35965,DO201800030,"1660,5","500,00-5.000,00",,contribution,2018,,,RE00009,,Partito o movimento politico,,Lega,,Lega,DO01277,,,Persona,terziclaudiamaria,Terzi,Claudia Maria,F,,,,joint_declaration,,
34665,DO201800031,1800,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO00563,,PE00304,Parlamentare o membro del Governo,dellafreraguido,Della Frera,Guido,M,,,,joint_declaration,,
34960,DO201800032,1800,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO00643,,PE00383,Parlamentare o membro del Governo,fontanagregorio,Fontana,Gregorio,M,,,,joint_declaration,,
34214,DO201800033,1804,"500,00-5.000,00",,service,2018,,,RE00094,PE00852,Parlamentare o membro del Governo,serracchianidebora,Serracchiani,Debora,Partito Democratico,DO00209,,,Partito o movimento politico locale,,Partito Democratico Friuli-Venezia Giulia,,,,,,joint_declaration,,
32110,DO201800034,2000,"500,00-5.000,00",,service,2018,,,RE00075,PE00598,Parlamentare o membro del Governo,miglioregennaro,Migliore,Gennaro,Partito Democratico,DO00050,,,Società o professionista,,Cincotti Company spa,,,,,,joint_declaration,,
34059,DO201800035,2000,"500,00-5.000,00",,contribution,2018,,,RE00043,PE00186,Parlamentare o membro del Governo,casolatimarzia,Casolati,Marzia,Lega,DO00146,,,Società o professionista,,Publigest spa,,,,,,joint_declaration,,
33612,DO201800036,2000,"500,00-5.000,00",,contribution,2018,,,RE00050,PE00290,Parlamentare o membro del Governo,demichelipaola,De Micheli,Paola,Partito Democratico,DO00041,,,Società o professionista,,Bipower Service srl,,,,,,joint_declaration,,
33760,DO201800037,2000,"500,00-5.000,00",,contribution,2018,,,RE00044,PE00188,Parlamentare o membro del Governo,cassinelliroberto,Cassinelli,Roberto,Forza Italia,DO00177,,,Società o professionista,,Sirce spa,,,,,,joint_declaration,,
33762,DO201800038,2000,"500,00-5.000,00",,contribution,2018,,,RE00044,PE00188,Parlamentare o membro del Governo,cassinelliroberto,Cassinelli,Roberto,Forza Italia,DO00162,,,Società o professionista,,Santagata 1907 spa,,,,,,joint_declaration,,
33766,DO201800039,2000,"500,00-5.000,00",,contribution,2018,,,RE00044,PE00188,Parlamentare o membro del Governo,cassinelliroberto,Cassinelli,Roberto,Forza Italia,DO00048,,,Società o professionista,,Chugoku-Boat Italy spa,,,,,,joint_declaration,,
34309,DO201800040,2000,"500,00-5.000,00",,contribution,2018,,,RE00061,PE00435,Parlamentare o membro del Governo,giachettiroberto,Giachetti,Roberto,Partito Democratico,DO00098,,,Società o professionista,,GVM Future Life srl,,,,,,joint_declaration,,
34450,DO201800041,2000,"500,00-5.000,00",,contribution,2018,,,RE00008,,Partito o movimento politico,,Fratelli d'Italia,,Fratelli d'Italia,DO01164,,PE00812,Parlamentare o membro del Governo,ruspandinimassimo,Ruspandini,Massimo,M,,,,joint_declaration,,
34617,DO201800042,2000,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00785,,,Persona,lanzgerhard,Lanz,Gerhard,M,,,,joint_declaration,,
33761,DO201800043,2000,"500,00-5.000,00",,contribution,2018,,,RE00044,PE00188,Parlamentare o membro del Governo,cassinelliroberto,Cassinelli,Roberto,Forza Italia,DO00750,,,Persona,grimaudobarbara,Grimaudo,Barbara,F,,,,joint_declaration,,
34605,DO201800044,2145,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00486,,,Persona,colliandreas,Colli,Andreas,M,,,,joint_declaration,,
34603,DO201800045,"2165,63","500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00271,,,Persona,bachermarcenichpaula,Bacher Marcenich,Paula,F,,,,joint_declaration,,
34725,DO201800046,2400,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO01148,,PE00797,Parlamentare o membro del Governo,rossimariarosaria,Rossi,Mariarosaria,F,,,,joint_declaration,,
34949,DO201800047,2400,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO00334,,PE00084,Parlamentare o membro del Governo,biasottisandromario,Biasotti,Sandro Mario,M,,,,joint_declaration,,
34985,DO201800048,2400,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO01219,,PE00857,Parlamentare o membro del Governo,sibiliacosimo,Sibilia,Cosimo,M,,,,joint_declaration,,
34618,DO201800049,"2404,55","500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00805,,,Persona,locherfranz,Locher,Franz,M,,,,joint_declaration,,
34604,DO201800050,"2412,22","500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00464,,,Persona,christanellzeno,Christanell,Zeno,M,,,,joint_declaration,,
34619,DO201800051,"2421,43","500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00833,,,Persona,mairhoferbeatrix,Mairhofer,Beatrix,F,,,,joint_declaration,,
34155,DO201800052,2440,"500,00-5.000,00",,service,2018,,,RE00018,,Partito o movimento politico,,Unione di Centro,,Unione di Centro,DO00460,,,Persona,cesalorenzo,Cesa,Lorenzo,M,,,,joint_declaration,,
33952,DO201800053,2500,"500,00-5.000,00",,contribution,2018,,,RE00009,,Partito o movimento politico,,Lega,,Lega,DO00711,,PE00434,Parlamentare o membro del Governo,giacconeandrea,Giaccone,Andrea,M,,,,joint_declaration,,
33730,DO201800054,2500,"500,00-5.000,00",,contribution,2018,,,RE00018,,Partito o movimento politico,,Unione di Centro,,Unione di Centro,DO00460,,,Persona,cesalorenzo,Cesa,Lorenzo,M,,,,joint_declaration,,
34678,DO201800055,2600,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO00901,,PE00594,Parlamentare o membro del Governo,messinaalfredo,Messina,Alfredo,M,,,,joint_declaration,,
34640,DO201800056,"2631,16","500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO01361,,,Persona,wildbarbara,Wild,Barbara,F,,,,joint_declaration,,
34632,DO201800057,"2645,63","500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO01274,,,Persona,tauberhelmut,Tauber,Helmut,M,,,,joint_declaration,,
34614,DO201800058,"2687,4","500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO01999,,,Persona,kompatscherfranz,Kompatscher,Franz,M,,,,joint_declaration,,
34959,DO201800059,2700,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO00623,,PE00364,Parlamentare o membro del Governo,ferraiolimarzia,Ferraioli,Marzia,F,,,,joint_declaration,,
34984,DO201800060,2700,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO01206,,PE00844,Parlamentare o membro del Governo,sciasciasalvatore,Sciascia,Salvatore,M,,,,joint_declaration,,
33968,DO201800061,3000,"500,00-5.000,00",,contribution,2018,,,RE00045,PE00207,Parlamentare o membro del Governo,centinaiogianmarco,Centinaio,Gian Marco,Lega,DO00075,,,Società o professionista,,Eredi Cerutti A. di Torti A. SS. Società Agricola,,,,,,joint_declaration,,
33970,DO201800062,3000,"500,00-5.000,00",,contribution,2018,,,RE00045,PE00207,Parlamentare o membro del Governo,centinaiogianmarco,Centinaio,Gian Marco,Lega,DO00158,,,Società o professionista,,S.I.D.O.N.I.O. spa,,,,,,joint_declaration,,
33971,DO201800063,3000,"500,00-5.000,00",,contribution,2018,,,RE00045,PE00207,Parlamentare o membro del Governo,centinaiogianmarco,Centinaio,Gian Marco,Lega,DO00109,,,Società o professionista,,Immobiliare Vallere srl,,,,,,joint_declaration,,
33972,DO201800064,3000,"500,00-5.000,00",,contribution,2018,,,RE00045,PE00207,Parlamentare o membro del Governo,centinaiogianmarco,Centinaio,Gian Marco,Lega,DO00033,,,Società o professionista,,Aquagest srl,,,,,,joint_declaration,,
33611,DO201800065,3000,"500,00-5.000,00",,contribution,2018,,,RE00050,PE00290,Parlamentare o membro del Governo,demichelipaola,De Micheli,Paola,Partito Democratico,DO00081,,,Società o professionista,,Finarda Inerti srl,,,,,,joint_declaration,,
33765,DO201800066,3000,"500,00-5.000,00",,contribution,2018,,,RE00044,PE00188,Parlamentare o membro del Governo,cassinelliroberto,Cassinelli,Roberto,Forza Italia,DO00133,,,Società o professionista,,Officine Meccaniche Navali e Fonderie San Giorgio del Porto spa,,,,,,joint_declaration,,
34724,DO201800067,3000,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO01020,,,Persona,pelinopaola,Pelino,Paola,F,,,,joint_declaration,,
32457,DO201800068,3000,"500,00-5.000,00",,contribution,2018,,,RE00009,,Partito o movimento politico,,Lega,,Lega,DO00458,,PE00207,Parlamentare o membro del Governo,centinaiogianmarco,Centinaio,Gian Marco,M,,,,joint_declaration,,
35964,DO201800069,3000,"500,00-5.000,00",,contribution,2018,,,RE00009,,Partito o movimento politico,,Lega,,Lega,DO00931,,PE00623,Parlamentare o membro del Governo,morellialessandro,Morelli,Alessandro,M,,,,joint_declaration,,
34637,DO201800070,"3253,69","500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO01327,,,Persona,vallazzamanfred,Vallazza,Manfred,M,,,,joint_declaration,,
34947,DO201800071,3600,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO00315,,PE00072,Parlamentare o membro del Governo,berardiroberto,Berardi,Roberto,M,,,,joint_declaration,,
34981,DO201800072,3600,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO01165,,PE00814,Parlamentare o membro del Governo,russopaolo,Russo,Paolo,M,,,,joint_declaration,,
33610,DO201800073,4000,"500,00-5.000,00",,contribution,2018,,,RE00050,PE00290,Parlamentare o membro del Governo,demichelipaola,De Micheli,Paola,Partito Democratico,DO00184,,,Società o professionista,,Studio Montanari e Associati,,,,,,joint_declaration,,
34420,DO201800074,4000,"500,00-5.000,00",,contribution,2018,,,RE00008,,Partito o movimento politico,,Fratelli d'Italia,,Fratelli d'Italia,DO01383,,PE00986,Parlamentare o membro del Governo,zucconiriccardo,Zucconi,Riccardo,M,,,,joint_declaration,,
34427,DO201800075,4000,"500,00-5.000,00",,contribution,2018,,,RE00008,,Partito o movimento politico,,Fratelli d'Italia,,Fratelli d'Italia,DO00979,,PE00664,Parlamentare o membro del Governo,osnatomarco,Osnato,Marco,M,,,,joint_declaration,,
34435,DO201800076,4000,"500,00-5.000,00",,contribution,2018,,,RE00008,,Partito o movimento politico,,Fratelli d'Italia,,Fratelli d'Italia,DO00633,,PE00372,Parlamentare o membro del Governo,ferrowanda,Ferro,Wanda,F,,,,joint_declaration,,
34443,DO201800077,4000,"500,00-5.000,00",,contribution,2018,,,RE00008,,Partito o movimento politico,,Fratelli d'Italia,,Fratelli d'Italia,DO00693,,PE00420,Parlamentare o membro del Governo,garnerosantanchedaniela,Garnero Santanchè,Daniela,F,,,,joint_declaration,,
34622,DO201800078,"4158,69","500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO01052,,,Persona,pinggeradieter,Pinggera,Dieter,M,,,,joint_declaration,,
34707,DO201800079,4200,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO00333,,PE00083,Parlamentare o membro del Governo,biancofioremichaela,Biancofiore,Michaela,F,,,,joint_declaration,,
34988,DO201800080,4200,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO01234,,PE00869,Parlamentare o membro del Governo,sortealessandro,Sorte,Alessandro,M,,,,joint_declaration,,
33940,DO201800081,4500,"500,00-5.000,00",,contribution,2018,,,RE00097,PE00882,Parlamentare o membro del Governo,stefanodario,Stefano,Dario,Partito Democratico,DO00016,,,"Associazione, fondazione o comitato",,La Puglia in più,,,,,,joint_declaration,,
33776,DO201800082,4500,"500,00-5.000,00",,contribution,2018,,,RE00032,PE00077,Parlamentare o membro del Governo,berniniannamaria,Bernini,Annamaria,Forza Italia,DO00167,,,Società o professionista,,Seci Holding spa,,,,,,joint_declaration,,
35515,DO201800083,4500,"500,00-5.000,00",,contribution,2018,,,RE00005,,Partito o movimento politico,,Articolo 1,,Articolo 1,DO00753,,PE00471,Parlamentare o membro del Governo,guerramariacecilia,Guerra,Maria Cecilia,F,,,,joint_declaration,,
34704,DO201800084,4500,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO00309,,PE00068,Parlamentare o membro del Governo,bendinellidavide,Bendinelli,Davide,M,,,,joint_declaration,,
34726,DO201800085,4500,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO01153,,PE00800,Parlamentare o membro del Governo,rossoroberto,Rosso,Roberto,M,,,,joint_declaration,,
34711,DO201800086,4800,"500,00-5.000,00",,contribution,2018,,,RE00007,,Partito o movimento politico,,Forza Italia,,Forza Italia,DO00450,,PE00200,Parlamentare o membro del Governo,causinandrea,Causin,Andrea,M,,,,joint_declaration,,
34644,DO201800087,4995,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00202,,,Società o professionista,,Vento di Montemurro srl,,,,,,joint_declaration,,
34313,DO201800088,5000,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00181,,,Società o professionista,,Stafil Ag,,,,,,joint_declaration,,
34332,DO201800089,5000,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00165,,,Società o professionista,,Schneeberg Hotels Kg,,,,,,joint_declaration,,
34333,DO201800090,5000,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00201,,,Società o professionista,,Vat & Accounting Services Gmbh,,,,,,joint_declaration,,
34334,DO201800091,5000,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00103,,,Società o professionista,,IBS Gmbh,,,,,,joint_declaration,,
34354,DO201800092,5000,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00144,,,Società o professionista,,Pro Strategy Gmbh & Co.KG,,,,,,joint_declaration,,
34355,DO201800093,5000,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00130,,,Società o professionista,,MW 6 Gmbh srl,,,,,,joint_declaration,,
34358,DO201800094,5000,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00149,,,Società o professionista,,RE.INVEST di P.Finance & co. sas,,,,,,joint_declaration,,
34360,DO201800095,5000,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00129,,,Società o professionista,,Museum Gmbh,,,,,,joint_declaration,,
34363,DO201800096,5000,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00138,,,Società o professionista,,P.Finance Gmbh srl,,,,,,joint_declaration,,
34372,DO201800097,5000,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00028,,,Società o professionista,,Allgest srl,,,,,,joint_declaration,,
34373,DO201800098,5000,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00121,,,Società o professionista,,Michaeler Management & Investment,,,,,,joint_declaration,,
34374,DO201800099,5000,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00148,,,Società o professionista,,RE. Project & Management Gmbh/srl,,,,,,joint_declaration,,
34375,DO201800100,5000,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00169,,,Società o professionista,,Seetech Global Industries spa,,,,,,joint_declaration,,
34376,DO201800101,5000,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00196,,,Società o professionista,,Unterwirt KG,,,,,,joint_declaration,,
34401,DO201800102,5000,"500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00037,,,Società o professionista,,Baugut srl,,,,,,joint_declaration,,
33240,DO201800103,5000,"500,00-5.000,00",,contribution,2018,,,RE00018,,Partito o movimento politico,,Unione di Centro,,Unione di Centro,DO00066,,,Società o professionista,,Docta srl,,,,,,joint_declaration,,
33977,DO201800104,5000,"500,00-5.000,00",,contribution,2018,,,RE00040,PE00172,Parlamentare o membro del Governo,cardinaledaniela,Cardinale,Daniela,Partito Democratico,DO00111,,,Società o professionista,,Kappa Immobiliare srl,,,,,,joint_declaration,,
34211,DO201800105,5000,"500,00-5.000,00",,contribution,2018,,,RE00040,PE00172,Parlamentare o membro del Governo,cardinaledaniela,Cardinale,Daniela,Partito Democratico,DO00111,,,Società o professionista,,Kappa Immobiliare srl,,,,,,joint_declaration,,
34208,DO201800106,5000,"500,00-5.000,00",,contribution,2018,,,RE00029,PE00054,Parlamentare o membro del Governo,bartolozzigiusi,Bartolozzi,Giusi,Forza Italia,DO00082,,,Società o professionista,,Finkem srl,,,,,,joint_declaration,,
33927,DO201800107,5000,"500,00-5.000,00",,contribution,2018,,,RE00068,PE00527,Parlamentare o membro del Governo,lottiluca,Lotti,Luca,Partito Democratico,DO00060,,,Società o professionista,,Defendini Logistica srl,,,,,,joint_declaration,,
33663,DO201800108,5000,"500,00-5.000,00",,contribution,2018,,,RE00087,PE00738,Parlamentare o membro del Governo,pizzettiluciano,Pizzetti,Luciano,Partito Democratico,DO00070,,,Società o professionista,,E.V. Soc. Cons. a r.l.,,,,,,joint_declaration,,
33747,DO201800109,5000,"500,00-5.000,00",,contribution,2018,,,RE00087,PE00738,Parlamentare o membro del Governo,pizzettiluciano,Pizzetti,Luciano,Partito Democratico,DO00070,,,Società o professionista,,E.V. Soc. Cons. a r.l.,,,,,,joint_declaration,,
33773,DO201800110,5000,"500,00-5.000,00",,contribution,2018,,,RE00090,PE00812,Parlamentare o membro del Governo,ruspandinimassimo,Ruspandini,Massimo,Fratelli d'Italia,DO00190,,,Società o professionista,,Technolchi srl,,,,,,joint_declaration,,
33744,DO201800111,5000,"500,00-5.000,00",,contribution,2018,,,RE00037,PE00110,Parlamentare o membro del Governo,bordomichele,Bordo,Michele,Partito Democratico,DO00155,,,Società o professionista,,Rotice Antonio srl,,,,,,joint_declaration,,
33609,DO201800112,5000,"500,00-5.000,00",,contribution,2018,,,RE00050,PE00290,Parlamentare o membro del Governo,demichelipaola,De Micheli,Paola,Partito Democratico,DO00029,,,Società o professionista,,Allied International srl,,,,,,joint_declaration,,
34207,DO201800113,5000,"500,00-5.000,00",,contribution,2018,,,RE00101,PE00913,Parlamentare o membro del Governo,toporaffaele,Topo,Raffaele,Partito Democratico,DO00106,,,Società o professionista,,Ideal Costruzioni srl,,,,,,joint_declaration,,
33759,DO201800114,5000,"500,00-5.000,00",,contribution,2018,,,RE00044,PE00188,Parlamentare o membro del Governo,cassinelliroberto,Cassinelli,Roberto,Forza Italia,DO00030,,,Società o professionista,,Anchor Shipping Agents srl,,,,,,joint_declaration,,
